1,Belgrade,Serbia,44.81306463,20.46372798,Historical Museum of Serbia,1,Trg Nikole Pašića 11,381113398018
2,Belgrade,Serbia,44.8162543,20.46883326,Memorial museum Jovana Cvijića,2,Jelene Ćetković 5,381113223126
3,Belgrade,Serbia,44.80669541,20.47082235,Museum Nikole Tesle ,3,Krunska 51,381112433886
4,Split,Croatia,43.51657555,16.43472552,Archaeological Museum Split,4,Ul. Zrinsko Frankopanska 25,38521329340
5,Split,Croatia,43.508345,16.44018766,Split Ethnographic Museum,5,Ul. Iza Vestibula 4,38521344164
6,Zadar,Croatia,44.11634488,15.2249117,Archaeological Museum Zadar,4,"Trg opatice Čike 1, 23000",38523250516
7,London,Great Britain,51.52017436,-0.126827854,British Museum ,1, Great Russell St,442073238299
8,St Petersburg,Russia,59.94029388,30.3145597,State Hermitage Museum,6,Palace Square 2,78127109079
9,Paris,France,48.86738118,2.355388385,National Conservatory of Arts and Crafts,3,292 Rue Saint-Martin,33140272330
10,Munich,Germany,48.13077297,11.58340928,Deutsches Museum,3,Museumsinsel 1,49892179333
11,Dresden,Germany,51.0792949,13.75991258,Museum of Military History,1,Olbrichtpl. 2,493518232803
12,Naples,Italy,40.85428017,14.25035374,Naples National Archaeological Museum,4,"Piazza Museo, 19, 80135",390814422149
13,Edinburgh,UK,55.95195356,-3.179487415,Museum of Edinburgh,7,142-146 Canongate,441315294143
14,Vatikan,Vatikan,41.90723837,12.45381296,Vatican Museum,6,00120 Vatican City,390669884676
15,Rim,Italy,41.90405003,12.49941185,"National Roman Museum, Baths of Diocletian",4,Viale Enrico de Nicola,3906477881
16,Rim,Italy,42.13278916,12.59765452,Archaeological Museum Lucus Feroniae,4,Via Tiberina 00060 Capena RM,39069085173
17,Zrenjanin,Serbia,45.38062101,20.39004298,National Museum Zrenjanin,7,Subotićeva 1,38123561841
18,Užice,Serbia,43.85473219,19.8463905,Užice National Museum,1,Dimitrija Tucovića 18,38131521360
19,Oslo,Norway,59.90762502,10.68600792,The Norwegian Museum of Cultural History,1,Museumsveien 10,4722123700
20,Oslo,Norway,59.90386258,10.69802352,Kon-Tiki Museum,1,Bygdøynesveien 36,4723086767
21,Oslo,Norway,59.96720429,10.78251979,Norwegian Museum of Science and Technology,3,Kjelsåsveien 143,4722796000
22,Oslo,Norway,59.92315509,10.70012662,The Vigeland Museum,6,Nobels gate 32,4723493700
23,Prijedor,Bosnia and Herzegovina,44.97813691,16.7092667,Kozara Museum,1,Nikole Pašića,52211334
24,Paris,France,48.86048373,2.326346823,Orsay Museum,6,1 Rue de la Légion d'Honneur,33140494814
25,Šabac,Serbia,44.75584709,19.69260027,National Museum Šabac,7,Masarikova 13,38115350287
26,Athina,Greece,37.97691607,23.74221678,Museum of Cycladic Art,4,Neofitou Douka 4,302107228321
27,Aranđelovac,Serbia,44.30554184,20.54670649,National Museum Aranđelovac,7,19 RS 34300 Mišarska,38134712415
28,Sarajevo,Bosnia and Herzegovina,43.85587671,18.40283728,National Museum of Bosnia and Herzegovina,7,Zmaja od Bosne 3,33668027
29,Dubrovnik,Croatia,42.64145793,18.10706131,Ethnografic Museum Rupe,5,Ul. od Rupa 3,38520323056
30,Dubrovnik,Croatia,42.65988889,18.08695934,Red History Museum,1,Ul. Svetog Križa 3,385915287744
31,Foča,Bosnia and Herzegovina,43.50672511,18.77550425,Museum of old Herzegovina,7,Kralja Petra I 11,58211135
32,Graz,Austria,47.07189811,15.43385922,Kunsthaus Graz,6,Lendkai 1,4331680179200
33,Jagodina,Serbia,43.9767641,21.26275832,Regional Museum Jagodina,7,Kneginje Milice 82,381358231328
34,Kraljevo,Serbia,43.72612282,20.683667,National Museum Kraljevo,7,Karađorđeva,38136315350
35,Lisbon,Portugal,38.73863253,-9.153373839,Calouste Gulbenkian Museum,6,Av. de Berna 45A,351217823000
36,Lisbon,Portugal,38.72590809,-9.113959815,Museu Nacional do Azulejo,7,R. Me. Deus 4,351218100340
37,Lisbon,Portugal,38.69748499,-9.198704192,National Coach Museum,7,Av. da Índia 136,351210492400
38,Lisbon,Portugal,38.71846667,-9.150958861,National Museum of Science & Natural History,3,R. da Escola Politécnica 56,351213921800
39,Čačak,Serbia,43.89408959,20.34900105,National Museum Čačak,7,Cara Dušana 1,38132222169
40,Valjevo,Serbia,44.26988886,19.88551268,National Museum Valjevo,7,Trg vojvode Mišića 3,38114221041
41,Venice,Italy,45.441475,12.33107537,Oriental Art Museum in Venice,6,Santa Croce,390415241173
42,Venice,Italy,45.43346421,12.34987,Museo Storico Navale di Venezia,1,Riva S. Biasio ,390412441399
43,Banja Luka,Bosnia and Herzegovina,44.77282715,17.18983366,Museum of Contemporary Art of Republika Srpska,6,Trg srpskih junaka 2,51215364
44,Vienna,Austria,48.20591273,16.3598451,Museum of Natural History Vienna,1,Burgring 7,431521770
45,Vienna,Austria,48.19149618,16.31804918,Technical Museum Vienna,3,Mariahilfer Str. 212,431899980
46,Novi Sad,Serbia,45.25703799,19.85035513,City Museum of Novi Sad,7,Dunavska 29,381216433145
47,Novi Sad,Serbia,45.25731325,19.85316107,Museum of Contemporary Art,6,Dunavska 37,381216433154
48,Novi Sad,Serbia,45.25327113,19.8621578,City Museum of Novi Sad,1,Petrovaradin 21131,381216433145
49,Novi Sad,Serbia,44.82027154,20.4423467,Museum of contemporary art,6,Ušće 10,381113115713
50,Moscow,Russia,55.74775226,37.60506958,The Pushkin State Museum of Fine Arts,6,Ulitsa Volkhonka  12,74956979578
